Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D69,1N4148W,D_SOD-123,25.7,-79.2,180.0,bottom
ESD1,SRV05-4,SOT-23-6,28.085,-61.7,0.0,bottom
F1,500mA,Fuse_0805_2012Metric,24.6,-62.6375,-90.0,bottom
J1,USB DTB,Molex_PicoBlade_53261-0471_1x04-1MP_P1.25mm_Horizontal,28.084758,-55.792481,0.0,bottom
LED1,SK6812MINI-E,LED_6028R,13.8,-58.884823,0.0,bottom
LED2,SK6812MINI-E,LED_6028R,9.034823,-20.784823,0.0,bottom
LED3,SK6812MINI-E,LED_6028R,294.784823,-20.784823,0.0,bottom
R1,1k,R_0402_1005Metric,119.371457,-87.824927,45.0,bottom
R2,1k,R_0402_1005Metric,100.3,-83.6,-90.0,bottom
R3,10k,R_0402_1005Metric,118.1,-90.7,0.0,bottom
R4,27R,R_0402_1005Metric,96.334823,-91.6,180.0,bottom
R5,27R,R_0402_1005Metric,96.334823,-92.8,180.0,bottom
RG1,XC6206P332MR,XC6206P332MR,87.0,-89.35,180.0,bottom
SW1,BOOT,SW_SPST_Little_Turtle_2P,77.8,-89.0,180.0,bottom
U1,ZD25Q80BNIGR,USON-8_1.5x1.5mm_P0.45mm,98.5,-85.7,180.0,bottom
U2,74LVC1G17,SOT-23-5,90.6,-95.7,0.0,bottom
U3,RP2040,RP2040-QFN-56,105.184823,-89.387399,0.0,bottom
Y1,12Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,117.15,-86.4,-135.0,bottom
